20240613 075900,5504,5504.5,5504,5504,74
20240613 080000,5503.75,5504,5503.5,5503.5,66
20240613 080100,5503.75,5503.75,5503,5503.75,86
20240613 080200,5503.75,5504.5,5503.25,5504.5,100
20240613 080300,5504.5,5505,5503.75,5505,125
20240613 080400,5505,5505.25,5504.5,5504.5,52
20240613 080500,5504.75,5505.25,5504.75,5505,55
20240613 080600,5505.25,5505.5,5504.75,5504.75,48
20240613 080700,5505,5505,5504,5505,96
20240613 080800,5504.75,5505,5504,5504,108
20240613 080900,5503.75,5504.75,5503.75,5504.5,68
20240613 081000,5504.25,5504.25,5503.75,5504,49
20240613 081100,5504,5504.5,5503.75,5504.25,62
20240613 081200,5504.25,5504.5,5503.5,5503.5,74
20240613 081300,5503.75,5503.75,5502.75,5503,61
20240613 081400,5502.5,5502.5,5501.75,5502,90
20240613 081500,5501.75,5502.5,5501.75,5502.25,43
20240613 081600,5502,5502,5501,5501.25,107
20240613 081700,5501.25,5501.25,5500.75,5501,169
20240613 081800,5501,5501.5,5501,5501,38
20240613 081900,5501,5501.75,5501,5501.5,79
20240613 082000,5501.75,5501.75,5501.25,5501.75,62
20240613 082100,5501.75,5502,5501.25,5501.25,44
20240613 082200,5501.5,5501.75,5501,5501,48
20240613 082300,5501,5501.25,5500.75,5501,104
20240613 082400,5501,5501.25,5501,5501,36
20240613 082500,5501.25,5501.75,5501.25,5501.75,81
20240613 082600,5502,5502,5501.75,5501.75,41
20240613 082700,5501.5,5501.75,5501.25,5501.75,29
20240613 082800,5501.75,5502.25,5501.75,5502.25,50
20240613 082900,5502.25,5502.25,5501.75,5501.75,50
20240613 083000,5501.75,5502,5501.25,5501.5,29
20240613 083100,5501.5,5501.5,5500.75,5500.75,81
20240613 083200,5500.75,5501.25,5500.75,5501.25,106
20240613 083300,5501.5,5501.75,5501.25,5501.5,96
20240613 083400,5501.25,5501.5,5501,5501.25,114
20240613 083500,5501.25,5501.25,5501,5501,68
20240613 083600,5501.25,5501.25,5500.75,5501,32
20240613 083700,5501,5502.5,5501,5502.5,34
20240613 083800,5502.75,5502.75,5501.5,5501.75,53
20240613 083900,5501.75,5501.75,5501.5,5501.5,45
20240613 084000,5501.75,5501.75,5501.25,5501.25,36
20240613 084100,5501.5,5501.5,5501,5501.25,36
20240613 084200,5501.25,5501.5,5501,5501,33
20240613 084300,5501.25,5501.25,5501,5501.25,45
20240613 084400,5501.25,5501.25,5500.25,5500.5,120
20240613 084500,5500.5,5500.5,5500.25,5500.25,43
20240613 084600,5500,5500,5499,5499.25,134
20240613 084700,5499.25,5499.25,5499,5499,37
20240613 084800,5499,5500.25,5499,5500.25,75
20240613 084900,5500.25,5500.25,5499.75,5500,31
20240613 085000,5499.75,5499.75,5499.5,5499.75,51
20240613 085100,5499.5,5500,5499.5,5499.75,25
20240613 085200,5500,5500.25,5500,5500.25,26
20240613 085300,5500,5500.25,5500,5500,27
20240613 085400,5500,5500.25,5500,5500,54
20240613 085500,5499.75,5500,5499.75,5500,6
20240613 085600,5499.25,5500.25,5499.25,5500.25,78
20240613 085700,5500.25,5500.5,5500,5500.5,34
20240613 085800,5500.5,5500.75,5500,5500.5,70
20240613 085900,5500.5,5500.75,5500.25,5500.75,42
20240613 090000,5500.5,5501.25,5500.5,5501.25,33
20240613 090100,5501.25,5502,5501.25,5502,42
20240613 090200,5501.75,5502.25,5501.5,5501.5,45
20240613 090300,5501.75,5502.25,5501.75,5502.25,32
20240613 090400,5502.25,5502.25,5501.75,5501.75,55
20240613 090500,5501.75,5502.5,5501.75,5502.5,79
20240613 090600,5502.5,5503,5502.5,5502.75,43
20240613 090700,5502.75,5503.75,5502.75,5503.5,90
20240613 090800,5503.25,5503.5,5503,5503.25,74
20240613 090900,5503.5,5503.5,5502.75,5502.75,62
20240613 091000,5503,5503,5502.5,5503,50
20240613 091100,5503.25,5503.25,5502.75,5503,42
20240613 091200,5502.75,5502.75,5502.5,5502.5,53
20240613 091300,5502.75,5502.75,5502.25,5502.25,27
20240613 091400,5502,5502.25,5502,5502.25,47
20240613 091500,5502.5,5503,5502.5,5502.5,33
20240613 091600,5502.75,5502.75,5502,5502,79
20240613 091700,5501.75,5502,5501.75,5501.75,28
